text,manual_tag (OCC/ACT/REQ/CTX/LVL/NOISE)
"For over seven decades investor-owned utilities, municipalities, cooperatives, and others have entrusted their electrical construction and maintenance needs to Davis H.",NOISE
"Elliot Company, Inc. (Elliot).",NOISE
"Elliot is a full-service electrical contractor specializing in overhead and underground distribution, transmission, substations, lighting, traffic signaling, utility locating and industrial/commercial services.",CTX
"As a Lineman C you will be assisting in the installation, construction, maintenance, and repair of overhead electric lines.",OCC
"This position is managed out of Lexington, KY with work in multiple locations and opportunities throughout KY.",NOISE
Valid Class A CDL license and medical card recommended,REQ
1 year of experience required,REQ
1-2 years of experience recommended,REQ
Own your own hand tools,REQ
Intermediate understanding of electrical distribution systems,REQ
Must be able to pass a criminal background check and drug screening,NOISE
Short-Term Disability and Long-Term Disability Insurance,NOISE
Company Paid Life Insurance w/ additional Voluntary Life Insurance,NOISE
401K w/ company match,NOISE
State and Federally accredited Lineman Apprenticeship program,NOISE
Uniforms and PPE provided,NOISE
"The Class C Lineman - Overhead is a semi-skilled position in the construction, maintenance and repair of electrical overhead distribution systems.",CTX
This position works at various locations.,NOISE
"Work safely while performing new construction, maintenance or repair work of energized and de-energized overhead work.",OCC
Strings overhead wire.,OCC
Sets poles and anchors.,OCC
"Installs transformers, lightening arrestors, cut-outs, crossarms, insulators, switches and switchgear.",OCC
Troubleshoots in primary and secondary systems.,OCC
Replaces fuses in transformers and clears faulted circuits and systems.,OCC
Frequently works with energized high voltage systems requiring skill and care to protect the lives of themselves and others.,OCC
"Maintains company vehicles, equipment and tools in good working order.",OCC
Does all other related work as required to complete the job.,ACT
Able to perform rigorous physical labor.,ACT
Must be able to identify primary and secondary voltage on a circuit.,OCC
Must be familiar with induced voltage.,OCC
Understands grounding procedures.,OCC
Understands how to use a load buster tool.,OCC
Capable of installing and hooking up a single-phase transformer.,OCC
Capable of safely setting a pole.,OCC
Must understand equipment set up and grounding.,OCC
Capable of working at heights and/or confined spaces.,OCC
Capable of properly installing and removing PPE and cover up.,OCC
Capable of checking voltage on transformers.,OCC
Capable of tying in a primary conductor.,OCC
"Must be able to climb different types of structures (wood, steel, etc.) and possess the necessary tools to do so.",OCC
Understands how to phase out a line using phasing sticks.,OCC
Understands how to obtain a one shot on a recloser.,OCC
Must be able to effectively conduct a pre-job or tailgate briefing.,OCC
Must be able to safely perform a reconductoring job.,OCC
Willingness to glove/work live high voltage distribution power lines.,OCC
Capable of safely installing and removing mechanical jumpers.,OCC
"Must be able to work outside, frequently in inclement weather.",OCC
4-year minimum of recent field experience.,REQ
Able to read and communicate effectively in English.,ACT
Able to obtain a Commercial Driver’s License permit within 60 days of employment.,REQ
A Commercial Driver’s License is preferred.,REQ
"Able to travel long distances on short notice, when required.",ACT
"Able to work for extended periods in various locations, when required.",ACT
Able to lift in excess of 50 lbs.,ACT
Able to properly inspect rubber goods and PPE.,OCC
Willing to work over-time when requested.,ACT
"Welcome to United Utility Services, a dynamic player in the electric utility industry.",CTX
"As a trailblazer, we provide comprehensive and innovative offerings that bolster power infrastructure investments across the U.S.",CTX
"We proudly serve as the parent company to industry-leading utility service contractors specializing in transmission, substation, distribution, and grid hardening projects.",CTX
"Our Core Values are clear and simple: Safety, Quality, Integrity, and Professionalism.",NOISE
"At United Utility Services, we craft power delivery solutions –",NOISE
"built safe, engineered smart, and driven by what customers demand",NOISE
– fueling communities with reliable energy.,NOISE
"We are the best-in-class, trusted partner delivering customer-centric Power Delivery Construction and Engineering solutions.",NOISE
We are currently seeking,NOISE
"for the Conroe, TX and Cleveland, TX area.",NOISE
"Install, maintain, and repair overhead distribution lines and equipment (poles, crossarms, insulators, switches, transformers, conductors).",OCC
"Respond to outages, emergency calls, and storm restoration assignments.",OCC
Perform routine system inspections to identify safety and reliability issues.,OCC
"Participate in job briefings, tailboard meetings, and hazard assessments.",OCC
Maintain and use proper PPE and fall protection equipment.,OCC
"Operate company vehicles and equipment safely (bucket trucks, digger derricks, line trucks).",OCC
"Work closely with crew members, supervisors, and dispatch.",ACT
"Communicate clearly and follow direction from the Foreman, Lead Lineman or Superintendent.",OCC
"Complete work orders, material logs, and time sheets accurately.",ACT
Minimum of 4 years' experience.,REQ
Ability to climb poles and work at heights.,OCC
Valid CDL (Class A or B) License.,REQ
Experience in high-voltage and low-voltage electrical systems is preferred,REQ
Familiarity with construction site operations and safety standards.,REQ
Ability to work extended hours during outages and storm events.,ACT
Physical ability to lift heavy equipment and work in demanding field conditions.,ACT
"Accessibility: If you need an accommodation as part of the employment process, please contact",NOISE
email: HRSC,NOISE
Equal Opportunity Employer is committed to diversity and inclusion in the workplace.,NOISE
"We prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws.",NOISE
"The Class B Lineman - Overhead is a semi-skilled position in the construction, maintenance and repair of electrical overhead distribution systems.",OCC
This position works at various locations and may also be required to travel to another state depending on customer demands.,NOISE
"Work safely while performing new construction, maintenance or repair work of energized and de-energized overhead work.",OCC
Strings overhead wire.,OCC
Sets poles and anchors.,OCC
"Installs transformers, lightening arrestors, cut-outs, crossarms, insulators, switches and switchgear.",OCC
Troubleshoots in primary and secondary systems.,OCC
Replaces fuses in transformers and clears faulted circuits and systems.,OCC
Frequently works with energized high voltage systems requiring skill and care to protect the lives of themselves and others.,OCC
"Maintains company vehicles, equipment and tools in good working order.",OCC
Does all other related work as required to complete the job.,ACT
Able to perform rigorous physical labor.,ACT
Must be able to identify primary and secondary voltage on a circuit.,OCC
Must be familiar with induced voltage.,OCC
Understands grounding procedures.,OCC
Understands how to use a load buster tool.,OCC
Capable of installing and hooking up a single-phase transformer.,OCC
Capable of safely setting a pole.,OCC
Must understand equipment set up and grounding.,OCC
Capable of working at heights and/or confined spaces.,ACT
Capable of properly installing and removing PPE and cover up.,ACT
Capable of checking voltage on transformers.,OCC
Capable of tying in a primary conductor.,OCC
"Must be able to climb different types of structures (wood, steel, etc.) and possess the necessary tools to do so.",OCC
Understands how to phase out a line using phasing sticks.,OCC
Understands how to obtain a one shot on a recloser.,OCC
Must be able to effectively conduct a pre-job or tailgate briefing.,ACT
Must be able to safely perform a reconductoring job.,OCC
Willingness to glove/work live high voltage distribution power lines.,OCC
Capable of safely installing and removing mechanical jumpers.,OCC
"Must be able to work outside, frequently in inclement weather.",ACT
5-year minimum of recent field experience.,REQ
Able to read and communicate effectively in English.,NOISE
A Commercial Driver’s License is required,REQ
or able to obtain CDL-A permit within 60 days of employment.,REQ
"Able to travel long distances on short notice, when required.",ACT
"Able to work for extended periods in various locations, when required.",ACT
Able to lift in excess of 50 lbs.,ACT
Able to properly inspect rubber goods and PPE.,OCC
Willing to work over-time when requested.,ACT
